,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,state,city
61,18041,Boho home w/detached Studio &Jacuzzi   31 day sale,69546,Lisa,City of Los Angeles,Venice,33.99179,-118.45056,Entire home/apt,400,7,4,2022-04-25,0.11,3,64,1,HSR21-002074,CA,Los Angeles
62,18067,Bohemian Home with rooftop  Jacuzzi and Tiki Bar,69546,Lisa,City of Los Angeles,Venice,33.99117,-118.45159,Entire home/apt,257,1,61,2022-05-08,0.47,3,60,10,HSR21-002074,CA,Los Angeles
65,20585,"Private Studio, 6 Doors to Beach",77857,Barbara,City of Los Angeles,Venice,33.98047,-118.46514,Entire home/apt,129,3,543,2022-08-27,3.58,1,61,37,HSR19-001144,CA,Los Angeles
68,84694,Zen Hollywood Hills Escape. Views Value Peace+Pvcy,55411,Hank,City of Los Angeles,Hollywood Hills,34.12018,-118.32051,Entire home/apt,224,5,8,2021-08-07,0.06,10,6,0,HSR19-003021,CA,Los Angeles
70,20786,Mondrian-Inspired Studio With Breathtaking Views And Light,55411,Hank,City of Los Angeles,Hollywood Hills,34.11187,-118.32479,Entire home/apt,286,31,59,2022-08-17,0.47,10,165,19,HSR19-003405,CA,Los Angeles
71,217971,GEORGEOUS CANYON BEACH GUESTHOUSE,1126652,Len,City of Los Angeles,Pacific Palisades,34.02886,-118.51392,Entire home/apt,191,2,86,2022-08-12,0.86,5,15,27,HSR19-004121,CA,Los Angeles
72,22355,"Experience Angeleno Magazine's ""Best Rental In Hills""",55411,Hank,City of Los Angeles,Hollywood Hills,34.11374,-118.32503,Entire home/apt,272,30,61,2022-07-21,0.41,10,148,8,HSR19-003405,CA,Los Angeles
76,23363,Silver Lake foothills studio with huge deck,91335,David,City of Los Angeles,Silver Lake,34.10104,-118.25659,Entire home/apt,154,3,200,2022-08-12,1.49,1,33,12,HSR21-001071,CA,Los Angeles
77,222200,Walk to Venice Beach from Luxury Home,1124533,Cam + RD,City of Los Angeles,Venice,33.99314,-118.46053,Entire home/apt,899,4,94,2022-04-12,0.76,3,152,23,HSR19-002064,CA,Los Angeles
79,226517,Picturesque port town awaits you !,1180987,Osiris,City of Los Angeles,San Pedro,33.74232,-118.30168,Private room,30,31,120,2022-06-26,0.93,3,225,3,HSR19-003150,CA,Los Angeles
81,23710,Cactus Dreaming in Highland Park,94038,Tatiana,City of Los Angeles,Highland Park,34.12057,-118.18934,Entire home/apt,210,1,333,2022-08-29,2.54,1,35,62,HSR19-001190,CA,Los Angeles
82,23925,Cactus Flower - Modernist Solar Guesthouse with Large Garden,95543,Ecoboutiquehomes,City of Los Angeles,Venice,34.0025,-118.4657,Entire home/apt,297,30,167,2022-03-25,1.84,9,17,9,HSR19-004625,CA,Los Angeles
84,23979,Sleek New York Style Loft With Jaw-Dropping Hollywood Views,55411,Hank,City of Los Angeles,Hollywood Hills,34.11957,-118.32013,Entire home/apt,263,5,47,2022-07-27,0.31,10,78,16,HSR19-003021,CA,Los Angeles
88,87595,GoodVibeStudio+Venice Bch+LAX+Bikes,479630,Corbin,City of Los Angeles,Westchester,33.96731,-118.41919,Entire home/apt,120,31,464,2022-03-16,3.35,1,89,8,HSR19-003197,CA,Los Angeles
93,96334,Private room in a cozy creative home,511559,Julie,City of Los Angeles,Woodland Hills,34.15504,-118.6031,Private room,59,30,26,2019-07-22,0.19,1,0,0,Exempt - This listing is a transient occupancy residential structure,CA,Los Angeles
96,24349,"Experience the Wolford House, a Mid Century Hilltop Jewel",98565,Zara,City of Los Angeles,Mount Washington,34.10942,-118.22003,Entire home/apt,375,3,160,2022-08-13,1.84,1,232,15,HSR21-002783,CA,Los Angeles
99,28529,2BR DWELL Inspired Escape InThe Sky Peace+Privacy,55411,Hank,City of Los Angeles,Hollywood Hills,34.11212,-118.32526,Entire home/apt,396,30,40,2022-06-12,0.27,10,178,6,HSR19-003405,CA,Los Angeles
102,100074,Budget Accommodation Beachside!,239712,Silvio,Other Cities,Santa Monica,34.01204,-118.49715,Hotel room,128,1,560,2022-09-04,4.05,4,225,87,Exempt,CA,Los Angeles
106,101702,Lovely Echo Park Studio,532541,Maiana,City of Los Angeles,Echo Park,34.07332,-118.26331,Entire home/apt,150,30,223,2022-07-30,1.62,2,365,4,HSR19-004125,CA,Los Angeles
107,249907,"Artist's House Decks, Yard & View",594808,Frank And Jonny,City of Los Angeles,Westlake,34.06246,-118.27871,Entire home/apt,245,3,80,2022-08-23,0.73,1,0,13,HSR19-002350,CA,Los Angeles
111,37298,Spacious Soothing Hillside Hideaway Views+Zen Vibe,55411,Hank,City of Los Angeles,Hollywood Hills,34.11319,-118.32303,Entire home/apt,382,31,5,2022-01-13,0.04,10,152,1,HSR19-003405,CA,Los Angeles
113,254259,"Tranquil and Contemporary Secluded Guest Suite in Venice, Ca",1335578,Derek,City of Los Angeles,Venice,34.00438,-118.45598,Entire home/apt,179,2,525,2022-09-05,3.98,1,234,70,HSR19-002506,CA,Los Angeles
116,254320,Large 1-Bedroom Guest House in Great Location,343842,Jane,City of Los Angeles,Studio City,34.1414,-118.40714,Entire home/apt,225,2,145,2022-06-22,1.16,1,233,14,HSR19-003172,CA,Los Angeles
118,254844,The Oasis in Beverly Hills.,1338512,Kasia,City of Los Angeles,Beverly Crest,34.08851,-118.42911,Entire home/apt,999,2,198,2022-08-19,1.6,1,354,21,HSR21-003398,CA,Los Angeles
122,255656,Classic Central Hollywood Gem,1343997,Hollywood,City of Los Angeles,Hollywood,34.10336,-118.32366,Entire home/apt,132,30,22,2020-10-26,0.18,6,339,0,Exempt - This listing is a transient occupancy residential structure,CA,Los Angeles
125,255701,Lovely Hollywd Apt-w/ porch&garden,1343997,Hollywood,City of Los Angeles,Hollywood,34.10336,-118.32366,Entire home/apt,169,30,26,2020-03-08,0.2,6,334,0,Exempt - This listing is a transient occupancy residential structure,CA,Los Angeles
134,258803,Beverly Hills/BevCenter/Cedars/RodeoDr/W Hollywood,1367539,Cássia,City of Los Angeles,Beverly Grove,34.07103,-118.37869,Entire home/apt,265,30,55,2020-08-18,0.45,3,0,0,HSR20-001074,CA,Los Angeles
135,131174,Santa Monica Beach Suite 5,648867,Anthony,City of Los Angeles,Pacific Palisades,34.02732,-118.51856,Private room,125,30,259,2022-06-04,2.73,4,328,4,Exempt - This listing is a hotel or motel,CA,Los Angeles
141,260698,Historic Craftsman Home in Pasadena,1367809,Toni,Other Cities,Pasadena,34.16589,-118.12312,Entire home/apt,500,3,4,2022-06-14,0.05,1,186,1,SRU2018-00006,CA,Los Angeles
142,131635,COZY BEDROOM FOR TWO  (2 TWIN BEDS),647546,Marco,City of Los Angeles,Valley Glen,34.1831,-118.39929,Private room,70,31,77,2022-02-19,0.57,4,97,2,HSR19-003988,CA,Los Angeles
145,47078,Villa Guest Suite 5 Minutes From Hollywood Boulevard,211786,Judith,City of Los Angeles,Hollywood Hills,34.11536,-118.33211,Entire home/apt,135,30,458,2022-01-05,3.14,2,276,1,HSR19-000019,CA,Los Angeles
146,132908,Spectacular Home With Breathtaking View,633484,Alexio & Vero,City of Los Angeles,Hollywood Hills West,34.10236,-118.37752,Entire home/apt,700,31,249,2021-01-24,1.95,1,365,0,HSR20-002235,CA,Los Angeles
149,47537,Malibu Ocean View Rooms for Rent 3,215462,Paul,Other Cities,Malibu,34.0309,-118.75528,Private room,450,2,167,2022-07-10,1.24,4,365,8,STR21-0049,CA,Los Angeles
151,266975,"Creative Zen Retreat. Enjoy, Create, Relax. Reconnect.",1399964,Studio W Venice,City of Los Angeles,Venice,33.99764,-118.46465,Entire home/apt,242,3,361,2022-09-03,2.83,1,301,60,HSR19-002347,CA,Los Angeles
154,268130,"Venice COZY, LOVELY Private PROPERTY",1405441,Jay,City of Los Angeles,Venice,33.98844,-118.46765,Entire home/apt,190,30,62,2022-02-18,0.47,1,173,1,HSR20-001333,CA,Los Angeles
156,50005,Guest House - Nightly or Weekly,49391,Michelle,City of Los Angeles,Hollywood,34.09641,-118.34979,Entire home/apt,115,30,143,2022-08-24,0.98,1,121,21,HSR19-003079,CA,Los Angeles
158,288779,Monthly Dorms at Gramercy Place!,1497543,Gramercy,City of Los Angeles,Arlington Heights,34.04572,-118.31367,Shared room,35,30,20,2022-08-22,0.15,19,365,1,Exempt - This listing is a hotel or motel,CA,Los Angeles
159,138244,Garden of Edenhurst Guest House - 1BR,675083,Alejandra,City of Los Angeles,Atwater Village,34.1217,-118.26329,Entire home/apt,145,30,98,2022-01-15,0.72,4,243,4,HSR21-001354,CA,Los Angeles
161,150097,CHARMING MASTER STUDIO  W/JACUZZI TUB  IN NOHO,647546,Marco,City of Los Angeles,Valley Glen,34.18163,-118.39925,Private room,65,30,216,2020-11-29,1.8,4,58,0,Exempt - This listing is a bed and breakfast,CA,Los Angeles
163,273119,Venice Retreat Designer Poolhouse,1429142,Gabriela,City of Los Angeles,Venice,33.99618,-118.45439,Entire home/apt,139,4,220,2022-08-14,1.7,1,212,28,HSR19-003035,CA,Los Angeles
170,298259,"Relaxing Retreat with  5G WiFi, Parking, and Calm",1537525,Deborah,City of Los Angeles,Mar Vista,33.99795,-118.44521,Entire home/apt,175,31,299,2021-07-20,2.32,1,6,0,HSR19-002570,CA,Los Angeles
178,300311,Private Rooms at Gramercy Place!,1497543,Gramercy,City of Los Angeles,Arlington Heights,34.04579,-118.31363,Private room,65,30,32,2022-05-03,0.25,19,365,1,Exempt - This listing is a hotel or motel,CA,Los Angeles
181,286866,Romantic Escape in Silverlake,135271,Maddalena,City of Los Angeles,Atwater Village,34.11224,-118.25668,Private room,184,1,567,2022-08-26,4.36,1,116,93,HSR19-003102,CA,Los Angeles
183,300323,Gramercy Place---monthly dorms,1497543,Gramercy,City of Los Angeles,Harvard Heights,34.04612,-118.31176,Shared room,35,30,148,2020-01-20,1.14,19,324,0,Exempt - This listing is a hotel or motel,CA,Los Angeles
184,300329,Student Housing---month to month at Gramercy Place,1497543,Gramercy,City of Los Angeles,Harvard Heights,34.04711,-118.31178,Shared room,40,30,11,2022-06-20,0.09,19,365,1,Exempt - This listing is a hotel or motel,CA,Los Angeles
185,287339,Dog Friendly 3BD Home on PRIVATE beach in Malibu,1494781,Tara,Other Cities,Malibu,34.03862,-118.62243,Entire home/apt,1743,2,94,2022-08-18,0.74,2,246,15,STR20-0017,CA,Los Angeles
186,300343,Private Room---month to month at Gramercy Place!,1497543,Gramercy,City of Los Angeles,Harvard Heights,34.04621,-118.31188,Private room,65,30,23,2022-08-11,0.18,19,365,2,Exempt - This listing is a hotel or motel,CA,Los Angeles
187,181511,"Sunny, spacious apartment with deck",870087,Martineke,City of Los Angeles,Elysian Valley,34.10053,-118.24925,Entire home/apt,140,30,40,2022-08-22,0.3,2,297,5,Exempt - This listing is a bed and breakfast,CA,Los Angeles
188,288038,Monthly Dorms at Gramercy Place,1497543,Gramercy,City of Los Angeles,Harvard Heights,34.04717,-118.3121,Shared room,35,30,80,2022-09-02,0.61,19,334,4,Exempt - This listing is a hotel or motel,CA,Los Angeles
189,409740,Stunning Modern Home Mulholland Dr with Sauna,3608303,Veronica,City of Los Angeles,Hollywood Hills West,34.12244,-118.36029,Entire home/apt,763,3,201,2022-09-03,1.59,2,347,26,HSR19-004207,CA,Los Angeles
190,300371,GRAMERCY PLACE! Dorms available.,1497543,Gramercy,City of Los Angeles,Arlington Heights,34.04656,-118.31408,Shared room,35,30,48,2019-07-27,0.37,19,365,0,Exempt - This listing is a hotel or motel,CA,Los Angeles
191,288061,STUDENT HOUSING---month to month at Gramercy Place,1497543,Gramercy,City of Los Angeles,Arlington Heights,34.04611,-118.31389,Shared room,40,30,38,2022-07-18,0.31,19,344,1,Exempt - This listing is a hotel or motel,CA,Los Angeles
192,300407,Interns love Gramercy Place!,1497543,Gramercy,City of Los Angeles,Harvard Heights,34.04609,-118.31187,Shared room,35,30,47,2022-04-09,0.37,19,365,2,Exempt - This listing is a hotel or motel,CA,Los Angeles
194,288428,Beautiful private room+ bath+a new nice queen bed.,1705379,Mariko,City of Los Angeles,Van Nuys,34.19141,-118.48034,Private room,95,2,175,2022-08-17,1.34,1,308,15,HSR21-003167,CA,Los Angeles
198,305478,PRIVATE Central Guesthouse - LOVELY,1571311,Shelley,City of Los Angeles,Mid-City,34.03592,-118.33382,Entire home/apt,131,4,448,2022-08-28,3.49,2,17,27,HSR19-000804,CA,Los Angeles
203,564102,Private Bright Studio,1568466,Julie AND Lautner,City of Los Angeles,Venice,34.00383,-118.46579,Entire home/apt,99,30,246,2022-01-03,1.99,1,342,15,HSR19-001415,CA,Los Angeles
204,307541,PRIVATE ROOM (Couple) w/ BATHROOM,1254174,Felix,City of Los Angeles,Venice,33.98831,-118.47154,Private room,69,30,16,2021-01-20,0.12,6,0,0,Exempt - This listing is a hotel or motel,CA,Los Angeles
205,416651,Silver Lake - Apartment with VIEWS!,1647272,Bianca,City of Los Angeles,Silver Lake,34.08609,-118.27127,Entire home/apt,250,30,16,2022-07-29,0.13,3,364,5,Exempt - This listing is a transient occupancy residential structure,CA,Los Angeles
207,565733,Paradise with a pool,2781593,Reyna,City of Los Angeles,Hollywood Hills,34.11411,-118.31521,Entire home/apt,400,30,8,2017-08-16,0.07,1,275,0,HSR19-002598,CA,Los Angeles
208,308582,Gramercy Place Dorm Rooms,1497543,Gramercy,City of Los Angeles,Arlington Heights,34.04775,-118.31315,Shared room,35,30,14,2019-04-24,0.11,19,365,0,Exempt - This listing is a hotel or motel,CA,Los Angeles
210,308584,Dorm Rooms Monthly at Gramercy Place!,1497543,Gramercy,City of Los Angeles,Harvard Heights,34.04636,-118.31195,Shared room,35,31,22,2022-07-23,0.18,19,344,2,Exempt - This listing is a hotel or motel,CA,Los Angeles
214,566016,Mulholland Mid Century - Pool & Fab View,2783478,Lyndall,City of Los Angeles,Studio City,34.12448,-118.37604,Entire home/apt,1304,3,187,2022-09-06,1.59,1,46,14,HSR19-002562,CA,Los Angeles
215,311176,Your Home Away from Home,1604905,Yael,City of Los Angeles,Leimert Park,34.00882,-118.33335,Entire home/apt,150,30,22,2021-08-25,0.49,1,362,0,HSR19-004793,CA,Los Angeles
216,566195,The Cottage of Lake Balboa,2760033,Brad And Natasha,City of Los Angeles,Lake Balboa,34.18868,-118.50509,Entire home/apt,156,2,606,2022-09-03,5.05,1,291,36,HSR19-000144,CA,Los Angeles
217,312387,2br Cottage in LA,1606040,Vanessa,City of Los Angeles,Broadway-Manchester,33.92483,-118.27031,Entire home/apt,147,3,168,2022-08-27,1.34,1,365,24,HSR19-003546,CA,Los Angeles
219,431476,Hollywood Retreat-Central-Walkable,1343997,Hollywood,City of Los Angeles,Hollywood,34.10336,-118.32366,Entire home/apt,147,30,19,2021-11-19,0.18,6,90,1,Exempt - This listing is a transient occupancy residential structure,CA,Los Angeles
220,432104,COMFY CASITA IN BELMONT HEIGHTS,2148981,Marisa,Other Cities,Long Beach,33.76405,-118.14655,Entire home/apt,150,4,63,2022-08-26,0.53,1,34,2,PRP22-00803,CA,Los Angeles
221,571242,"Room with breakfast in Pasadena, CA",2811194,Kay,Other Cities,Pasadena,34.16675,-118.11573,Private room,52,6,54,2022-07-28,0.44,1,42,5,SRH2019-00230,CA,Los Angeles
227,435277,3 Blocks to Cedars Sinai-Best Neighborhood in town,2161902,Rachel,Other Cities,Beverly Hills,34.07173,-118.386,Private room,78,30,45,2022-07-30,0.37,1,244,3,Exempt - This listing is a bed and breakfast,CA,Los Angeles
234,326787,Room with en suite bathroom,34583,Elaine,City of Los Angeles,Hollywood,34.10039,-118.35362,Private room,110,30,184,2021-07-02,1.57,1,313,0,Exempt - This listing is a bed and breakfast,CA,Los Angeles
241,579927,Spacious DESIGNER HOUSE in heart of Venice Beach,2852812,Elena & Michael,City of Los Angeles,Venice,33.98185,-118.46691,Entire home/apt,664,2,101,2022-08-14,0.99,5,144,22,HSR21-000150,CA,Los Angeles
250,446757,Hollywood Retreat-Balcony+City View,1343997,Hollywood,City of Los Angeles,Hollywood,34.10336,-118.32366,Entire home/apt,179,30,41,2021-04-03,0.46,6,327,0,Exempt - This listing is a transient occupancy residential structure,CA,Los Angeles
255,346756,Sunny Large Studio with Full Kitchen,11878764,Daniel,Other Cities,Santa Monica,34.02445,-118.49391,Entire home/apt,135,31,55,2021-11-15,0.43,6,253,1,222035,CA,Los Angeles
256,453527,"The Common Studio, Venice Beach, CA",1037820,The Common House,City of Los Angeles,Venice,34.00323,-118.46589,Entire home/apt,164,2,164,2022-07-31,1.31,2,109,33,HSR20-000303,CA,Los Angeles
260,462726,TOTALLY PRIVATE MINI-STUDIO & PATIO!,618883,Cris,City of Los Angeles,Sherman Oaks,34.15898,-118.4593,Entire home/apt,100,3,289,2022-08-26,2.84,1,152,36,HSR19-002721,CA,Los Angeles
262,586709,Bungalow in the sky,2892483,Ernesto,City of Los Angeles,Echo Park,34.09322,-118.25024,Private room,160,3,84,2022-09-02,0.71,1,37,20,HSR19-000453,CA,Los Angeles
263,350634,Guest house Villa/Vine-covered  - LA walk to beach,1776981,Carrie,Other Cities,El Segundo,33.91961,-118.42146,Entire home/apt,154,2,435,2022-08-22,3.4,4,299,59,43181,CA,Los Angeles
265,463025,"Marina del Rey & Venice, Beach is so close!",2184027,Michael,City of Los Angeles,Del Rey,33.98962,-118.42346,Private room,111,3,405,2022-08-29,3.26,1,84,61,HSR21-001039,CA,Los Angeles
268,354281,On the BEACH  in Belmont Shore (PRP22-00864),1793869,Elizabeth,Other Cities,Long Beach,33.76371,-118.12497,Private room,169,2,125,2022-08-29,1.07,1,270,3,PRP22-00864,CA,Los Angeles
269,590936,Loft for sublet Downtown LA,2915924,Petr,City of Los Angeles,Lincoln Heights,34.07566,-118.22307,Entire home/apt,95,30,56,2021-07-03,0.58,1,0,0,HSR20-000690,CA,Los Angeles
275,593043,Great Family Home with Pool,2927706,Shirley,Other Cities,Santa Monica,34.00816,-118.46601,Entire home/apt,500,3,3,2022-07-05,0.05,1,88,1,223523,CA,Los Angeles
279,490221,Brentwood Artist Farmhouse,2424764,Delphine,City of Los Angeles,Brentwood,34.06462,-118.4919,Entire home/apt,550,31,46,2020-10-02,0.37,1,326,0,HSR20-001460,CA,Los Angeles
282,596481,Prime location in trendy Echo Park,2762016,Andrew,City of Los Angeles,Echo Park,34.06824,-118.25268,Private room,63,30,17,2019-11-11,0.14,2,0,0,HSR19-001894,CA,Los Angeles
288,602739,"""Shabby Chic Beach House""",2982798,Jessica,City of Los Angeles,Venice,33.99168,-118.46671,Entire home/apt,190,30,51,2021-12-18,0.57,1,193,2,HSR19-004748,CA,Los Angeles
291,374590,Amazing Silverlake home with VIEWS,1647272,Bianca,City of Los Angeles,Silver Lake,34.09451,-118.27413,Entire home/apt,418,30,28,2020-04-13,0.22,3,316,0,Exempt - This listing is a transient occupancy residential structure,CA,Los Angeles
292,495207,Arty Venice compound w/huge yard,2154178,Dawn,City of Los Angeles,Venice,33.98682,-118.46196,Entire home/apt,350,30,17,2019-08-07,0.14,1,252,0,HSR19-000417,CA,Los Angeles
294,498014,Great Room with Private Bath in Venice +Free Bike,2458647,Mark,City of Los Angeles,Venice,33.99847,-118.46617,Private room,175,3,121,2022-08-26,1.33,3,69,12,HSR21-000661,CA,Los Angeles
298,498342,"Unwind at a Tranquil, Quiet Home",2460077,Bryce,City of Los Angeles,Canoga Park,34.21033,-118.61166,Private room,85,30,158,2022-07-14,1.38,1,343,2,HSR19-003219,CA,Los Angeles
302,611542,Gorgeous and Tranquil Laurel Canyon Home,3032775,Wendy,City of Los Angeles,Hollywood Hills West,34.11037,-118.38294,Entire home/apt,616,3,27,2022-06-22,0.23,1,225,1,HSR20-002122,CA,Los Angeles
305,611841,In the hills below Hollywood Sign!,3035002,Vicki,City of Los Angeles,Hollywood Hills,34.11737,-118.32114,Entire home/apt,170,4,204,2022-08-23,1.66,1,235,39,HSR19-000391,CA,Los Angeles
306,502172,Remodeled Mid Century Deck House.,2477978,Laura,City of Los Angeles,Eagle Rock,34.12597,-118.22577,Entire home/apt,320,30,31,2019-12-31,0.26,1,364,0,HSR19-004128,CA,Los Angeles
308,611903,Colorful Oasis in the Heart of Silverlake,3891392,Ethan,City of Los Angeles,Silver Lake,34.10475,-118.26176,Entire home/apt,628,5,66,2022-09-06,0.6,1,0,6,HSR21-002401,CA,Los Angeles
310,617321,Long Beach 50s Mod Bixby Bed/Bath,3059666,Jean,Other Cities,Long Beach,33.83361,-118.18018,Private room,85,1,54,2022-06-16,0.56,6,17,12,NRP21-00164,CA,Los Angeles
311,394508,Private Guest House Netflix/ Exec/ Monthly Rates,1972326,Craig,City of Los Angeles,Hollywood,34.0967,-118.33316,Entire home/apt,149,5,81,2022-08-12,0.64,1,275,11,HSR21-001941,CA,Los Angeles
313,619457,Hollywood Grove Hillside,3069669,Paul,City of Los Angeles,Hollywood Hills,34.10854,-118.3145,Entire home/apt,450,30,2,2014-12-27,0.02,1,70,0,HSR19-002469,CA,Los Angeles
317,394904,REDUCED LUXURY MODERN GETTY 1 HOUSE walk to Beach!,10156476,Robert,Other Cities,Santa Monica,34.00351,-118.478,Entire home/apt,525,31,47,2020-07-12,0.4,8,321,0,228082,CA,Los Angeles
320,395305,Guest house with kitchen & bathroom,1975664,Jessica & Puk,City of Los Angeles,Glassell Park,34.12887,-118.23526,Entire home/apt,85,30,291,2020-03-20,2.31,1,0,0,HSR19-005089,CA,Los Angeles
323,622974,PRIVATE ROOM W/BR IN SANTA MONICA,3088602,N G,Other Cities,Santa Monica,34.0251,-118.48914,Private room,85,5,8,2020-08-22,0.07,1,363,0,236100,CA,Los Angeles
324,515705,Natty Echo Park Enclave with Separate Homes!,2435461,William,City of Los Angeles,Echo Park,34.07273,-118.25646,Entire home/apt,278,4,20,2019-09-08,0.16,4,54,0,HSR19-002901,CA,Los Angeles
327,400478,Gramercy Place-month to month dorms,1497543,Gramercy,City of Los Angeles,Harvard Heights,34.04762,-118.3125,Shared room,35,30,38,2020-01-16,0.3,19,365,0,Exempt - This listing is a hotel or motel,CA,Los Angeles
328,518815,Ocean View Room in Malibu 2,215462,Paul,Other Cities,Malibu,34.03074,-118.75723,Private room,300,2,263,2022-08-28,2.12,4,353,36,STR21-0049,CA,Los Angeles
329,625983,Charming House in NOHO District,3106817,Tirza,City of Los Angeles,North Hollywood,34.17112,-118.36777,Entire home/apt,110,30,18,2022-01-02,0.15,1,0,1,HSR19-002194,CA,Los Angeles
330,524134,"Master bedroom & Private Bath, Sofa&Patio | Venice",2458647,Mark,City of Los Angeles,Venice,33.99826,-118.46464,Private room,257,2,13,2022-05-03,0.12,3,88,1,HSR21-000661,CA,Los Angeles
332,626181,Venice Urban Farm,3107999,Natasha And Kenny,City of Los Angeles,Venice,33.99325,-118.46191,Entire home/apt,399,3,8,2022-07-25,0.1,1,3,2,HSR21-001951,CA,Los Angeles
334,402053,Woodland Hills / You are the *Star*,2006759,Cathy,City of Los Angeles,Woodland Hills,34.16958,-118.65344,Entire home/apt,85,30,126,2022-08-05,1.01,3,302,7,HSR19-004098,CA,Los Angeles
335,526012,Work from Home in a Quiet Guesthouse with Garden,2566215,Jo-Ann,City of Los Angeles,Venice,33.99518,-118.46315,Entire home/apt,240,31,378,2022-08-28,3.03,4,318,34,HSR19-003921,CA,Los Angeles
336,634133,Private Mid-Century Inspired Guesthouse,3157553,Amy & Peter,City of Los Angeles,Mid-Wilshire,34.05165,-118.33828,Entire home/apt,155,2,758,2022-09-07,6.18,1,130,87,HSR19-000180,CA,Los Angeles
